SN,ProjectName,Registration Number,Authorised Name,Promoter Name,Project Type,District,Tehsil,Approved Date,Proposed End Date,Extended Proposed End Date,Website,View Certificate,Details,Map

"
                                                                1 
                                                            ",SPARSH LIFE CITY,"
PCGRERA160218000001
",VIVEK AGRAWAL,MAA BAMLESHWARI REALITIES PVT LTD,Plotted Development,RAIPUR,RAIPUR,16 Feb 2018,"
                                                                30 Apr 2020
                                                            ",30 Jan 2022,"


","
 Expired
","
 
","
 
"
"
                                                                2 
                                                            ",OVERSEAS PALM RESORTS,"
PCGRERA240218000002
",AAKASH AGRAWAL,M/S AGRAWAL CONSTRUCTION AND CONTRACTORS,Group Housing,RAIPUR,RAIPUR,24 Feb 2018,"
                                                                03 Dec 2020
                                                            ",02 Sep 2022,"


","
 
","
 
","
 
"
"
                                                                3 
                                                            ",MULTI SPORTS CITY,"
PCGRERA010318000003
",VIKAS AGRAWAL,BHARAT DEVELOPERS,Plotted Development,DURG,PATAN,01 Mar 2018,"
                                                                31 Jan 2021
                                                            ",17 Dec 2022,"


","
 
","
 
","
 
"
"
                                                                4 
                                                            ",MAHAVIR SUNCITY NX,"
PCGRERA080318000004
",VIKAS BOHRA,MAHAVIR ASSOCIATES,Plotted Development,RAJNANDGAON,RAJNANDGAON,08 Mar 2018,"
                                                                08 Aug 2021
                                                            ",08 May 2022,"


","
 Expired
","
 
","
 
"
"
                                                                5 
                                                            ",SATGURU DREAM CITY,"
PCGRERA150318000005
",SUNNY BINDRA,M/S. SATGURU BUILDCON,Plotted Development,RAIPUR,RAIPUR,15 Mar 2018,"
                                                                31 Jan 2020
                                                            ",-,"


","
 Expired
","
 
","
 
"
"
                                                                6 
                                                            ",SINGAPORE LIFE CITY  PHASE-I,"
 **
PCGRERA150318000006
",AJAY KUMAR CHOUHAN,CHOUHAN HOUSING PRIVATE LIMITED,Plotted Development,DURG,DURG,15 Mar 2018,"
                                                                15 Mar 2020
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                7 
                                                            ",METRO HEXA,"
PCGRERA160418000007
",RAJESH KUKREJA,M/S SHIVAY INFRA,Group Housing,RAIPUR,RAIPUR,16 Apr 2018,"
                                                                31 Mar 2021
                                                            ",29 Dec 2022,"


","
 
","
 
","
 
"
"
                                                                8 
                                                            ",RIDDHI SIDDHI L SERIES,"
 **
PCGRERA230418000008
",VINOD KUMAR BOHRA,VINOD BOHRA,Plotted Development,RAJNANDGAON,RAJNANDGAON,23 Apr 2018,"
                                                                31 Jul 2020
                                                            ",31 Jan 2021,"


","
 
","
 
","
 
"
"
                                                                9 
                                                            ",GT LIFE SPACES,"
PCGRERA270418000009
",GAJENDRA SINGH RAJPAL,G T HOMES,Group Housing,RAIPUR,ARANG,27 Apr 2018,"
                                                                31 Oct 2020
                                                            ",21 Jan 2023,"


","
 
","
 
","
 
"
"
                                                                10 
                                                            ",ROYAL RESIDENCES,"
PCGRERA050518000010
",SONAL KUMAR JAIN,SONAL KUMAR JAIN,Plotted Development,RAIPUR,ABHANPUR,05 May 2018,"
                                                                18 Apr 2020
                                                            ",18 Oct 2020,"


","
 Expired
","
 
","
 
"
"
                                                                11 
                                                            ",SWARNABHOOMI PROJECT PHASE-II,"
PCGRERA180518000011
",RAJESH AGRAWAL,FORTUNE RESOURCES PRIVATE LIMITED,Plotted Development,RAIPUR,RAIPUR,18 May 2018,"
                                                                28 Feb 2022
                                                            ",28 Nov 2022,"


","
 
","
 
","
 
"
"
                                                                12 
                                                            ",WOODS ESTATE PHASE-I,"
 **
PCGRERA250518000012
",M RAMESH RAO,SRI VENKATESHWARA REALITIES,Plotted Development,RAIPUR,RAIPUR,25 May 2018,"
                                                                31 Dec 2023
                                                            ",30 Jun 2024,"


","
 
","
 
","
 
"
"
                                                                13 
                                                            ",CREST GREENS,"
 **
PCGRERA250518000013
",JAGEET SINGH DUTTA,RAMAYANA REALTORS PRIVATE LIMITED,Plotted Development,RAIPUR,RAIPUR,25 May 2018,"
                                                                30 Sep 2018
                                                            ",30 Sep 2019,"


","
 
","
 
","
 
"
"
                                                                14 
                                                            ",CHOUHAN GREEN VALLEY,"
PCGRERA250518000014
",AJAY CHOUHAN,AJAY CHOUHAN,Plotted Development,DURG,DURG,25 May 2018,"
                                                                29 Apr 2021
                                                            ",29 Jan 2023,"


","
 
","
 
","
 
"
"
                                                                15 
                                                            ",CHOUHAN GREEN VALLEY,"
PCGRERA250518000015
",AJAY CHOUHAN,CHOUHAN HOUSING PVT. LTD.,Plotted Development,DURG,DURG,25 May 2018,"
                                                                29 Apr 2021
                                                            ",29 Jan 2023,"


","
 
","
 
","
 
"
"
                                                                16 
                                                            ",KRISHNA'S PARADISE-PHASE-I,"
 **
PCGRERA250518000016
",SUNI KUMAR TAPARIA,SHREE KRISHNA BUILDERS,Group Housing,RAIPUR,RAIPUR,25 May 2018,"
                                                                31 Dec 2023
                                                            ",30 Jun 2024,"


","
 
","
 
","
"
"
                                                                17 
                                                            ",ASHOKA LANDSCAPES,"
PCGRERA250518000017
",ASHOK LUNKAD,PRITHVI DEVELOPERS,Plotted Development,BASTAR,JAGDALPUR,25 May 2018,"
                                                                31 Mar 2020
                                                            ",30 Sep 2020,"


","
 Expired
","
 
","
 
"
"
                                                                18 
                                                            ",NIRVANA GARDEN PHASE- I,"
PCGRERA250518000018
",VIJAY KUMAR,JSR BUILDER & DEVELOPERS,Plotted Development,RAIPUR,ARANG,25 May 2018,"
                                                                16 Mar 2020
                                                            ",-,"


","
 Expired
","
 
","
 
"
"
                                                                19 
                                                            ",NIRVANA GARDEN PHASE - 2,"
PCGRERA250518000019
",ASHOK KUMAR SHARMA,ASHOK KUMAR SHARMA,Plotted Development,RAIPUR,ARANG,25 May 2018,"
                                                                06 Apr 2021
                                                            ",05 Jan 2023,"


","
 
","
 
","
 
"
"
                                                                20 
                                                            ",AVANTI ELEGANCE,"
 **
PCGRERA010618000020
",ASHOK KHEMKA,SURYA LAND DEVELOPERS,Group Housing,RAIPUR,RAIPUR,01 Jun 2018,"
                                                                01 Jul 2018
                                                            ",-,"


","
 
","
 
","
"
"
                                                                21 
                                                            ",NEW WHOLESALE CLOTH MARKET,"
PCGRERA010618000021
",RISHABH JAIN,NAVKAR DEVCON INDIA PRIVATE LIMITED,Commercial,DURG,DURG,01 Jun 2018,"
                                                                10 Feb 2020
                                                            ",10 Nov 2021,"


","
 Expired
","
 
","
 
"
"
                                                                22 
                                                            ",VINAYAK RESIDENCEY,"
 **
PCGRERA010618000022
",RASJEET SINGH KHANUJA,KARANVEER INFRAVENTURES PVT.LTD.,Group Housing,RAIPUR,RAIPUR,01 Jun 2018,"
                                                                30 Jun 2018
                                                            ",-,"


","
 
","
 
","
"
"
                                                                23 
                                                            ","LAXMI GREEN CITY, BLOCK - A","
 **
PCGRERA050618000023
",RADHE GOVIND BAJPAI,RADHE GOVIND BAJPAI,Group Housing,DURG,DURG,05 Jun 2018,"
                                                                31 Dec 2021
                                                            ",30 Jun 2022,"


","
 
","
 
","
 
"
"
                                                                24 
                                                            ",POOJA PARADISE,"
 **
PCGRERA050618000024
",JAI GEMNANI,AAKRITI CONSTRUCTION,Mixed Development,BILASPUR,BILASPUR,05 Jun 2018,"
                                                                01 Jan 2019
                                                            ",-,"


","
 
","
 
","
"
"
                                                                25 
                                                            ",AISHWARYA EMPIRE PHASE - I,"
PCGRERA050618000025
",NIKHIL DHAGAT,SANKALP HOMES,Group Housing,RAIPUR,RAIPUR,05 Jun 2018,"
                                                                31 May 2025
                                                            ",28 Feb 2026,"


","
 
","
 
","
 
"
"
                                                                26 
                                                            ",AVINASH PEARL,"
 **
PCGRERA050618000026
",ANAND SINGHANIA,AVINASH DEVELOPERS PVT. LTD.,Group Housing,RAIPUR,RAIPUR,05 Jun 2018,"
                                                                30 Jun 2018
                                                            ",-,"


","
 
","
 
","
"
"
                                                                27 
                                                            ",LIFE STYLE EMPRESSA,"
 **
PCGRERA050618000027
",ANAND SINGHANIA,AVINASH DEVELOPERS PVT. LTD.,Commercial,RAIPUR,RAIPUR,05 Jun 2018,"
                                                                31 Dec 2019
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                28 
                                                            ",MAGNETO SIGNATURE HOMES - II,"
PCGRERA050618000028
",ANAND SINGHANIA,AVINASH DEVELOPERS PVT. LTD.,Plotted Development,RAIPUR,RAIPUR,05 Jun 2018,"
                                                                30 Apr 2021
                                                            ",30 Jan 2022,"


","
 Expired
","
 
","
 
"
"
                                                                29 
                                                            ",ROSEBEY GREENS,"
PCGRERA050618000029
",MAHABIR PRASAD AGRAWAL,GALAXY REALTYS,Plotted Development,RAIPUR,RAIPUR,05 Jun 2018,"
                                                                10 Jun 2020
                                                            ",10 Mar 2022,"


","
 Expired
","
 
","
 
"
"
                                                                30 
                                                            ",AISHWARYA EMPIRE,"
PCGRERA050618000030
",NIKHIL DHAGAT,SANKALP HOMES,Mixed Development,RAIPUR,RAIPUR,05 Jun 2018,"
                                                                31 May 2023
                                                            ",28 Feb 2025,"


","
 
","
 
","
 
"
"
                                                                31 
                                                            ",SUN CITY,"
 **
PCGRERA050618000031
",RAJESH AGRAWAL,M/S RAJESH AGRAWAL RAKESH AGRAWAL,Plotted Development,RAIPUR,RAIPUR,05 Jun 2018,"
                                                                30 May 2020
                                                            ",30 Nov 2020,"


","
 
","
 
","
 
"
"
                                                                32 
                                                            ",SHRISTI'S PALAZZO,"
 **
PCGRERA050618000032
",SATENDRA AGRAWAL,SANSAR BUILDCON PRIVATE LIMITED,Group Housing,RAIPUR,RAIPUR,05 Jun 2018,"
                                                                06 Jun 2018
                                                            ",-,"


","
 
","
 
","
"
"
                                                                33 
                                                            ",RAMKUTIR,"
 **
PCGRERA050618000033
",SAURABH RATHI,MOSH VARAYA INIFRASTRUCTURE LIMITED,Group Housing,RAIPUR,RAIPUR,05 Jun 2018,"
                                                                31 Dec 2021
                                                            ",30 Jun 2022,"


","
 
","
 
","
 
"
"
                                                                34 
                                                            ","D.M. TOWERS ""C"" BLOCK","
 **
PCGRERA050618000034
",PARESH KUMAR DAYABHAI MANIK,D.M. BUILDERS,Mixed Development,RAIPUR,RAIPUR,05 Jun 2018,"
                                                                10 Jun 2018
                                                            ",-,"


","
 
","
 
","
"
"
                                                                35 
                                                            ",GANAPATI VIHAR PHASE - 4 ,"
PCGRERA050618000035
",DEVENDRA MADHYANI,MADHYANI BUILDERS,Group Housing,DURG,DURG,05 Jun 2018,"
                                                                21 May 2022
                                                            ",21 Feb 2023,"


","
 
","
 
","
 
"
"
                                                                36 
                                                            ",METRO GREENS,"
 **
PCGRERA050618000036
",RANJAN NATHANI,METRO INFRASTRUCTURES,Plotted Development,RAIPUR,DHARSIWA,05 Jun 2018,"
                                                                31 May 2020
                                                            ",30 Nov 2020,"


","
 
","
 
","
 
"
"
                                                                37 
                                                            ",VAIBHAV VATIKA,"
PCGRERA050618000037
",VAIBHAV CHOURASIA,M/S R K C INFRATECH,Group Housing,KORBA,KATGHORA,05 Jun 2018,"
                                                                30 Jun 2022
                                                            ",30 Mar 2023,"


","
 
","
 
","
 
"
"
                                                                38 
                                                            ",DWARIKAPURI,"
PCGRERA050618000038
",PRAKASH SHARMA,MAA KARMA DEVELOPERS,Group Housing,DURG,DURG,05 Jun 2018,"
                                                                15 Dec 2023
                                                            ",15 Sep 2024,"


","
 
","
 
","
 
"
"
                                                                39 
                                                            ",SHRIJI TOWERS,"
 **
PCGRERA050618000039
",SHIVNARAYAN KOTHARI,SHRIJI BUILDERS ,Mixed Development,RAIPUR,RAIPUR,05 Jun 2018,"
                                                                30 Jun 2018
                                                            ",-,"


","
 
","
 
","
"
"
                                                                40 
                                                            ",TIRUPATI ENCLAVE PHASE -I,"
PCGRERA050618000040
",SHYAM SUNDER AGRAWAL,KANCHAN COMPLEXES PVT LTD,Group Housing,RAIPUR,RAIPUR,05 Jun 2018,"
                                                                31 May 2023
                                                            ",29 Feb 2024,"


","
 
","
 
","
 
"
"
                                                                41 
                                                            ",TIRUPATI ENCLAVE COMMERCIAL,"
PCGRERA050618000041
",SHYAM SUNDER AGRAWAL,KANCHAN COMPLEXES PVT LTD,Commercial,RAIPUR,RAIPUR,05 Jun 2018,"
                                                                31 May 2019
                                                            ",-,"


","
 Expired
","
 
","
 
"
"
                                                                42 
                                                            ",RAMA RESIDENCIES,"
 **
PCGRERA050618000042
",RAJKUMAR JHA,RAJKUMAR JHA RAMANAND JHA,Plotted Development,BASTAR,JAGDALPUR,05 Jun 2018,"
                                                                31 Dec 2020
                                                            ",30 Sep 2021,"


","
 
","
 
","
 
"
"
                                                                43 
                                                            ",GOKUL TOWER,"
 **
PCGRERA050618000043
",BHAVESH PATEL,CHHAGAN LAL PATEL,Group Housing,RAIPUR,RAIPUR,05 Jun 2018,"
                                                                30 Jun 2018
                                                            ",-,"


","
 
","
 
","
"
"
                                                                44 
                                                            ",JAINAM PARK,"
PCGRERA050618000044
",DINESH RAMPURIA ,JAINAM BUILDERS,Group Housing,RAIPUR,RAIPUR,05 Jun 2018,"
                                                                30 Sep 2019
                                                            ",31 Mar 2021,"


","
 Expired
","
 
","
 
"
"
                                                                45 
                                                            ",UNI HOMES EXTENSION,"
 **
PCGRERA050618000045
",RANJAN NATHANI,M/S UNITECH BUILDERS,Plotted Development,RAIPUR,RAIPUR,05 Jun 2018,"
                                                                30 Jun 2018
                                                            ",-,"


","
 
","
 
","
"
